label,t_l,t_x
Rest,2521,1432.5
Push-off,439,4536.5
Rest,573,39552.5
Wall touch,917,38693.5
Underwater glide,1165,5433.5
Underwater kick,515,6350.5
Underwater kick,573,6990.5
Underwater kick,630,7726.0
Underwater kick,650,8461.0
Underwater kick,745,9234.5
Underwater kick,496,9989.0
Butterfly,1336,11001.0
Butterfly,1547,12652.5
Butterfly,1566,14400.0
Butterfly,1662,16205.0
Butterfly,1738,18039.0
Butterfly,1700,19910.0
Butterfly,1623,21724.5
Butterfly,1757,23567.5
Butterfly,1661,25429.5
Butterfly,1662,27263.0
Butterfly,1642,29068.0
Butterfly,1776,30968.0
Butterfly,1643,32868.5
Butterfly,1776,34673.0
Butterfly,1833,36611.5
